window_size	hysteresis	covariance1_t	covariance1_R	covariance2	outlier_threshold	translation_validity_threshold	Rotation_validity_threshold	bop19_average_recall_vsd	bop19_average_precision_vsd	bop19_average_recall_mssd	bop19_average_precision_mssd	bop19_average_recall_mspd	bop19_average_precision_mspd	bop19_average_recall	bop19_average_precision
20	25	0.025	10	5.00E-05	20	2.50E-06	5.00E-04	0.3650618071	0.5815347138	0.3771632471	0.6008120179	0.5360265069	0.8538773853	0.4260838537	0.6787413723
20	25	0.005	10	5.00E-05	20	2.50E-06	5.00E-04	0.3426354021	0.5323025144	0.3603287881	0.5597901406	0.5295781827	0.8227281726	0.4108474576	0.6382736092
20	75	0.025	20	5.00E-05	20	2.50E-06	5.00E-04	0.3647559577	0.5786979377	0.3777239709	0.5992721391	0.5346756722	0.8482814395	0.4257185336	0.6754171721
20	25	0.005	20	5.00E-05	20	2.50E-06	5.00E-04	0.3387638588	0.5428384725	0.3563909774	0.5710843373	0.521957436	0.8363896263	0.4057040907	0.6501041454
20	25	0.001	10	5.00E-05	20	2.50E-06	5.00E-04	0.311872053	0.4830754047	0.3356059641	0.5198381366	0.5183637059	0.802921437	0.3886139077	0.6019449928
20	75	0.025	10	5.00E-05	20	2.50E-06	5.00E-04	0.369750223	0.5645903872	0.3834968778	0.5855808523	0.5473047024	0.8357073361	0.4335172677	0.6619595252
20	75	0.001	20	5.00E-05	20	2.50E-06	5.00E-04	0.3142296419	0.4882693069	0.3373773417	0.5242376238	0.5189754046	0.8064158416	0.3901941294	0.6063075908
20	75	0.005	20	5.00E-05	20	2.50E-06	5.00E-04	0.3423703326	0.5284382376	0.3611698738	0.55745476	0.5299095196	0.8178992919	0.4111499087	0.6345974298
20	75	0.005	10	5.00E-05	20	2.50E-06	5.00E-04	0.3462852045	0.5166951892	0.3660252326	0.5461494581	0.5391487193	0.8044685301	0.4171530521	0.6224377258
20	75	0.001	10	5.00E-05	20	2.50E-06	5.00E-04	0.3143902128	0.46653177	0.339989805	0.5045196672	0.5266216388	0.7814674735	0.3936672189	0.5841729702
20	25	0.025	2.5	5.00E-05	20	2.50E-06	5.00E-04	0.3752899197	0.5482964066	0.3894609405	0.5690001862	0.5581241239	0.8154161236	0.440958328	0.6442375721
20	25	0.005	2.5	5.00E-05	20	2.50E-06	5.00E-04	0.3553804002	0.5035518238	0.3762584427	0.5331347057	0.5574614502	0.7898880462	0.4297000977	0.6088581919
20	25	0.001	2.5	5.00E-05	20	2.50E-06	5.00E-04	0.3248833949	0.4590133237	0.3509494074	0.4958408354	0.5499171658	0.776953547	0.4085833227	0.5772692354
20	75	0.005	2.5	5.00E-05	20	2.50E-06	5.00E-04	0.3593398751	0.4825842889	0.3821715305	0.5132466199	0.5683828215	0.7633236351	0.436631409	0.586384848
20	75	0.025	2.5	5.00E-05	20	2.50E-06	5.00E-04	0.3800356824	0.5278123894	0.3968013253	0.5510973451	0.5710080285	0.7930442478	0.4492816788	0.6239846608
20	75	0.001	2.5	5.00E-05	20	2.50E-06	5.00E-04	0.3267975022	0.4358966514	0.355256786	0.4738568757	0.5603033006	0.7473567908	0.4141191963	0.552370106
20	25	0.025	20	5.00E-05	10	2.50E-06	5.00E-04	0.3640958328	0.6254509632	0.3741302409	0.6426882662	0.5026379508	0.863441331	0.4136213415	0.7105268535
20	25	0.005	20	5.00E-05	10	2.50E-06	5.00E-04	0.3498203135	0.5871743316	0.3645087295	0.611828877	0.5021409456	0.8428449198	0.4054899962	0.6806160428
20	25	0.001	20	5.00E-05	10	2.50E-06	5.00E-04	0.3233821843	0.5467744021	0.3429463489	0.5798534799	0.4947113547	0.83645766	0.387013296	0.6543618473
20	75	0.025	20	5.00E-05	10	2.50E-06	5.00E-04	0.370479164	0.6018944099	0.3819931184	0.6206004141	0.5143749204	0.8356728778	0.4222824009	0.6860559006
20	75	0.001	20	5.00E-05	10	2.50E-06	5.00E-04	0.3279291449	0.5277399508	0.3484643813	0.5607875308	0.5042818912	0.8115463495	0.3935584725	0.6333579437
20	25	0.025	10	5.00E-05	10	2.50E-06	5.00E-04	0.3726570664	0.6033092635	0.38422327	0.622034248	0.5225309035	0.8459459459	0.4264704133	0.6904298191
20	25	0.005	10	5.00E-05	10	2.50E-06	5.00E-04	0.3560175863	0.5657492912	0.372600994	0.5921020656	0.5206575761	0.8273795059	0.4164253855	0.6617436209
20	25	0.001	10	5.00E-05	10	2.50E-06	5.00E-04	0.3267860329	0.5277402758	0.3470243405	0.5604239555	0.5097234612	0.8231734925	0.3945112782	0.6371125746
20	75	0.005	20	5.00E-05	10	2.50E-06	5.00E-04	0.3548923155	0.5663697376	0.3710462597	0.5921496848	0.5127182363	0.818242831	0.4128856038	0.6589207511
20	75	0.025	10	5.00E-05	10	2.50E-06	5.00E-04	0.3784631069	0.5833431546	0.3917675545	0.6038499313	0.5354020645	0.8252406207	0.4352109086	0.6708112355
20	75	0.001	10	5.00E-05	10	2.50E-06	5.00E-04	0.3304218173	0.5084957835	0.3528099911	0.542949598	0.5199184402	0.8001176701	0.4010500828	0.6171876839
20	75	0.005	10	5.00E-05	10	2.50E-06	5.00E-04	0.3604498534	0.545190825	0.3800178412	0.5747879722	0.5323563145	0.8052043177	0.4242746697	0.641727705
